,category,over_represented_pvalue,under_represented_pvalue,numDEInCat,numInCat,adjP,Pathway,DEgenesInCat
1,R-HSA-1474244,0,1,120,297,0,Extracellular matrix organization,LAMC3::P3H3::CAPN9::MMP24::ADAMTS8::COL1A2::COL3A1::COL4A1::COL4A2::COL4A3::COL4A4::COL4A5::COL4A6::COL5A1::COL5A2::COL6A1::COL6A2::COL8A1::COL8A2::COL9A1::COL9A3::COL11A1::COL12A1::COL13A1::COL15A1::COL16A1::COL17A1::COL19A1::COL26A1::ADAMTS14::VCAN::CTSV::DCN::ADAMTS16::ADAMTS18::FBN1::FBN2::EFEMP1::FGF2::FGG::COLGALT2::FN1::PCOLCE2::BMP10::LAMA1::EFEMP2::HSPG2::ICAM1::ICAM2::COL28A1::ITGA6::ITGA1::ITGA3::ITGA4::ITGA5::ITGB1::ITGB2::ITGB3::ITGB4::ITGB8::KLKB1::LAMA2::LAMA3::LAMA4::LAMB1::LAMB3::LAMC1::LAMC2::LOX::LOXL1::LOXL2::LRP4::LTBP2::LTBP3::MATN3::MFAP2::MMP2::MMP9::MMP14::MUSK::CEACAM6::NID1::SERPINE1::SPOCK3::P3H2::PRKCA::KLK7::ADAMTS9::NTN4::BGN::SDC4::P3H1::BMP2::BMP4::SPARC::SPP1::TGFB1::TGFB2::TGFB3::THBS1::TIMP1::TIMP2::ICAM5::TLL1::TNR::COL14A1::VTN::ADAM12::MFAP5::COL18A1::COL21A1::EMILIN2::LOXL4::FBN3::COL27A1::ADAM19::CAPN13::ADAMTS3::CD44::SH3PXD2A
2,R-HSA-1474290,0,1,48,90,0,Collagen formation,P3H3::COL1A2::COL3A1::COL4A1::COL4A2::COL4A3::COL4A4::COL4A5::COL4A6::COL5A1::COL5A2::COL6A1::COL6A2::COL8A1::COL8A2::COL9A1::COL9A3::COL11A1::COL12A1::COL13A1::COL15A1::COL16A1::COL17A1::COL19A1::COL26A1::ADAMTS14::CTSV::COLGALT2::PCOLCE2::COL28A1::ITGA6::ITGB4::LAMA3::LAMB3::LAMC2::LOX::LOXL1::LOXL2::MMP9::P3H2::P3H1::TLL1::COL14A1::COL18A1::COL21A1::LOXL4::COL27A1::ADAMTS3
3,R-HSA-1474228,0,1,57,138,0,Degradation of the extracellular matrix,CAPN9::MMP24::ADAMTS8::COL1A2::COL3A1::COL4A1::COL4A2::COL4A3::COL4A4::COL4A5::COL4A6::COL5A1::COL5A2::COL6A1::COL6A2::COL8A1::COL8A2::COL9A1::COL9A3::COL11A1::COL12A1::COL13A1::COL15A1::COL16A1::COL17A1::COL19A1::COL26A1::CTSV::DCN::ADAMTS16::ADAMTS18::FBN1::FBN2::FN1::HSPG2::KLKB1::LAMA3::LAMB1::LAMB3::LAMC1::LAMC2::MMP2::MMP9::MMP14::NID1::SPOCK3::KLK7::ADAMTS9::SPP1::TIMP1::TIMP2::TLL1::COL14A1::COL18A1::FBN3::CAPN13::CD44
4,R-HSA-1650814,0,1,37,67,0,Collagen biosynthesis and modifying enzymes,P3H3::COL1A2::COL3A1::COL4A1::COL4A2::COL4A3::COL4A4::COL4A5::COL4A6::COL5A1::COL5A2::COL6A1::COL6A2::COL8A1::COL8A2::COL9A1::COL9A3::COL11A1::COL12A1::COL13A1::COL15A1::COL16A1::COL17A1::COL19A1::COL26A1::ADAMTS14::COLGALT2::PCOLCE2::COL28A1::P3H2::P3H1::TLL1::COL14A1::COL18A1::COL21A1::COL27A1::ADAMTS3
5,R-HSA-2022090,0,1,35,61,0,Assembly of collagen fibrils and other multimeric structures,COL1A2::COL3A1::COL4A1::COL4A2::COL4A3::COL4A4::COL4A5::COL4A6::COL5A1::COL5A2::COL6A1::COL6A2::COL8A1::COL8A2::COL9A1::COL9A3::COL11A1::COL12A1::COL15A1::COL17A1::CTSV::ITGA6::ITGB4::LAMA3::LAMB3::LAMC2::LOX::LOXL1::LOXL2::MMP9::TLL1::COL14A1::COL18A1::LOXL4::COL27A1
6,R-HSA-8948216,0,1,29,44,0,Collagen chain trimerization,COL1A2::COL3A1::COL4A1::COL4A2::COL4A3::COL4A4::COL4A5::COL4A6::COL5A1::COL5A2::COL6A1::COL6A2::COL8A1::COL8A2::COL9A1::COL9A3::COL11A1::COL12A1::COL13A1::COL15A1::COL16A1::COL17A1::COL19A1::COL26A1::COL28A1::COL14A1::COL18A1::COL21A1::COL27A1
7,R-HSA-3000157,0,1,23,30,0,Laminin interactions,LAMC3::COL4A1::COL4A2::COL4A3::COL4A4::COL4A5::COL4A6::LAMA1::HSPG2::ITGA6::ITGA1::ITGA3::ITGB1::ITGB4::LAMA2::LAMA3::LAMA4::LAMB1::LAMB3::LAMC1::LAMC2::NID1::COL18A1
8,R-HSA-3000171,0,1,33,59,0,Non-integrin membrane-ECM interactions,LAMC3::COL1A2::COL3A1::COL4A1::COL4A2::COL4A3::COL4A4::COL4A5::COL4A6::COL5A1::COL5A2::COL11A1::FGF2::FN1::LAMA1::HSPG2::ITGA6::ITGB1::ITGB3::ITGB4::LAMA2::LAMA3::LAMA4::LAMB1::LAMB3::LAMC1::LAMC2::PRKCA::NTN4::SDC4::TGFB1::THBS1::VTN
9,R-HSA-216083,0,1,39,83,0,Integrin cell surface interactions,COL1A2::COL3A1::COL4A1::COL4A2::COL4A3::COL4A4::COL4A5::COL4A6::COL5A1::COL5A2::COL6A1::COL6A2::COL8A1::COL8A2::COL9A1::COL9A3::COL13A1::COL16A1::FBN1::FGG::FN1::HSPG2::ICAM1::ICAM2::ITGA6::ITGA1::ITGA3::ITGA4::ITGA5::ITGB1::ITGB2::ITGB3::ITGB8::SPP1::THBS1::ICAM5::VTN::COL18A1::CD44
10,R-HSA-3000178,0,1,37,76,0,ECM proteoglycans,COL1A2::COL3A1::COL4A1::COL4A2::COL4A3::COL4A4::COL4A5::COL4A6::COL5A1::COL5A2::COL6A1::COL6A2::COL9A1::COL9A3::VCAN::DCN::FN1::LAMA1::HSPG2::ITGB1::ITGB3::LAMA2::LAMA3::LAMA4::LAMB1::LAMC1::LRP4::MATN3::MUSK::SERPINE1::BGN::SPARC::TGFB1::TGFB2::TGFB3::TNR::VTN
